Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Vegetarian,Han Kang,Deborah Smith (Translator),9780553448184,hardcover,read,2022/10/22,2022/10/29,2022/10/22-2022/10/29,1,"",,,,,,,,,"",,"",No
The Making of Incarnation,Tom McCarthy,"",9781787333291,hardcover,to-read,2024/11/23,"","",0,"",,,,,,,,,"",,"",No
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"",9781501139239,hardcover,read,2024/08/04,2024/08/04,2024/07/29-2024/08/04,1,"",,,,,,,,,"",,"",No
Lessons in Chemistry,Bonnie Garmus,"",9780857528131,paperback,read,2023/08/15,2023/08/15,2023/08/13-2023/08/15,1,"",,,,,,,,,"",,"",No
Mongrel,Hanako Footman,"",9781804440827,hardcover,to-read,2024/01/27,"","",0,"",,,,,,,,,"",,"",No
Conversations with Friends,Sally Rooney,"",9780451499066,paperback,read,2021/07/08,2021/06/01,2021/06/01,1,"",,,,,,,3.0,,"",,"",No
What I Talk About When I Talk About Running,Haruki Murakami,Philip Gabriel (Translator),9780307397379,paperback,read,2024/03/30,2024/04/22,2024/03/30-2024/04/22,1,"",,,,,,,,,"",,"",No
Eragon,Christopher Paolini,"",9780375826696,paperback,read,2013/08/13,"","",1,"",,,,,,,3.0,,"",,"",No
All the Light We Cannot See,Anthony Doerr,"",9780008138301,paperback,read,2024/01/17,"","",1,"",,,,,,,,,"",,"",Yes
Wandering Souls,Cecile Pin,"",9781250863461,hardcover,to-read,2024/01/27,"","",0,"",,,,,,,,,"",,"",No
Of Mice and Men,John Steinbeck,"",9780142000670,paperback,read,2021/12/28,"","",1,"",,,,,,,,,"",,"",No
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Mary GrandPré (Illustrator),9780439136365,paperback,read,2013/08/13,"","",1,"",,,,,,,4.0,,"",,"",No
The Midnight Library,Matt Haig,"",9780525559474,hardcover,did-not-finish,2021/12/13,"","",0,"",,,,,,,,,"",,"",No
Warbreaker,Brandon Sanderson,Alyssa Bresnahan (Narrator),9781501901737,audio,read,2021/12/06,2023/03/10,2023/01/28-2023/03/10,1,"",,,,,,,,,"",,"",No
The Book Thief,Markus Zusak,"",9780375831003,hardcover,to-read,2021/12/13,"","",0,"",,,,,,,,,"",,"",No
Norwegian Wood,Haruki Murakami,Jay Rubin (Translator),9780099448822,paperback,read,2024/01/17,"","",1,"",,,,,,,,,"",,"",Yes
How Do You Live?,Genzaburō Yoshino,"",9781846046469,paperback,read,2023/10/31,2024/01/09,2023/10/31-2024/01/09,1,"",,,,,,,,,"",,"",Yes
